Primer Autor,Año,Tipo de Producto,Afiliación del Primer Autor,Journal,Publisher,Base de Datos,Citaciones
Almasri F.,2024-10-01,Article,International University of Science and Technology Kuwait,Research in Science Education,Publisher desconocido,Scopus,6
Alnaqbi A.,2024-10-01,Article,University of Sharjah,Innovative Infrastructure Solutions,Publisher desconocido,Scopus,0
Aloni O.,2024-10-01,Article,Bar-Ilan University,Instructional Science,Publisher desconocido,Scopus,0
Alqarni M.,2024-10-15,Article,Taif University,Chemometrics and Intelligent Laboratory Systems,Publisher desconocido,Scopus,0
Alves F.,2024-09-30,Book,Universidade Federal de Minas Gerais,"Translation as a Cognitive Activity: Theories, Models and Methods for Empirical Research",Publisher desconocido,Scopus,0
Alyasi H.,2024-10-01,Article,Qatar Environment and Energy Research Institute,Desalination,Publisher desconocido,Scopus,1
Alzate P.,2024-12-01,Review,Universidad Católica Luis Amigó,Journal of Innovation and Entrepreneurship,Publisher desconocido,Scopus,0
Anjaria K.,2024-11-01,Article,Institute of Rural Management Anand,International Journal of Information Management Data Insights,Publisher desconocido,Scopus,2
Anwar A.,2025-02-01,Article,University of Toronto,Information Fusion,Publisher desconocido,Scopus,0
Anđić B.,2024-12-01,Article,Universität Wien,Smart Learning Environments,Publisher desconocido,Scopus,1
Apurba I.K.G.G.,2024-11-15,Article,Bangamata Sheikh Fojilatunnesa Mujib Science &amp; Technology University,Materials Science in Semiconductor Processing,Publisher desconocido,Scopus,0
Araujo V.G.,2024-10-01,Article,Universidade Federal do Rio de Janeiro,Vision Research,Publisher desconocido,Scopus,0
Ardhiati Y.,2024-12-01,Article,Universitas Pancasila,Heritage Science,Publisher desconocido,Scopus,0
Ardiansyah A.S.,2024-09-05,Conference Paper,Universitas Negeri Semarang,AIP Conference Proceedings,Publisher desconocido,Scopus,0
Ardyansyah A.,2024-09-10,Article,Universitas Negeri Malang,Journal of Chemical Education,Publisher desconocido,Scopus,0
Arevalo-Ascanio R.,2024-11-01,Article,Vlaamse Instelling voor Technologisch Onderzoek,Transportation Research Part E: Logistics and Transportation Review,Publisher desconocido,Scopus,0
Argota Sánchez-Vaquerizo J.,2024-12-01,Article,ETH Zürich,Scientific Reports,Publisher desconocido,Scopus,2
Ariffin S.A.,2024-10-01,Article,Universiti Pendidikan Sultan Idris,International Journal of Evaluation and Research in Education,Publisher desconocido,Scopus,0
Armaghani D.J.,2024-10-01,Article,University of Technology Sydney,Natural Resources Research,Publisher desconocido,Scopus,1
Arnedo-Moreno J.,2025-01-01,Article,Universitat Oberta de Catalunya,Entertainment Computing,Publisher desconocido,Scopus,0
Ashrafganjouei M.,2024-11-01,Article,Daneshgahe Shahid Bahonar-e-Kerman,International Journal of Technology and Design Education,Publisher desconocido,Scopus,0
Asif M.,2024-12-01,Review,Hunan Normal University,Discover Artificial Intelligence,Publisher desconocido,Scopus,1
Askari A.,2024-12-01,Article,Universiteit Leiden,Discover Computing,Publisher desconocido,Scopus,0
Askari S.,2024-10-01,Article,College of Engineering,Travel Behaviour and Society,Publisher desconocido,Scopus,2
Aswathappa S.,2024-10-01,Article,Institute of Geochemistry Chinese Academy of Sciences,Ceramics International,Publisher desconocido,Scopus,0
Attamimi M.,2024-12-01,Article,Institut Teknologi Sepuluh Nopember,Bulletin of Electrical Engineering and Informatics,Publisher desconocido,Scopus,0
Aven T.,2024-09-12,Book,Universitetet i Stavanger,Risk Science: An Introduction,Publisher desconocido,Scopus,1
Awad E.,2024-12-01,Article,University of Exeter,Autonomous Agents and Multi-Agent Systems,Publisher desconocido,Scopus,0
Awal M.A.,2024-11-01,Article,University of Saskatchewan,Journal of Systems and Software,Publisher desconocido,Scopus,0
Awere C.O.,2024-11-01,Article,Alagappa University,Plant Physiology and Biochemistry,Publisher desconocido,Scopus,0
Azman M.N.A.,2025-02-01,Article,Universiti Pendidikan Sultan Idris,Multidisciplinary Science Journal,Publisher desconocido,Scopus,0
Azoff E.M.,2024-09-18,Book,Omdia,Toward Human-Level Artificial Intelligence: How Neuroscience Can Inform the Pursuit of Artificial General Intelligence or General AI,Publisher desconocido,Scopus,0
Badshah A.,2024-11-01,Article,University of Sargodha,Artificial Intelligence Review,Publisher desconocido,Scopus,0
Bagler G.,2024-12-01,Article,"Indraprastha Institute of Information Technology, Delhi",npj Systems Biology and Applications,Publisher desconocido,Scopus,0
Bai W.,2024-12-01,Article,Shijiazhuang Vocational and Technology Institute,International Journal of Computational Intelligence Systems,Publisher desconocido,Scopus,0
Bai Y.,2024-09-09,Conference Paper,NVIDIA,MLCAD 2024 - Proceedings of the 2024 ACM/IEEE International Symposium on Machine Learning for CAD,Publisher desconocido,Scopus,0
Bajaj H.,2025-08-01,Article,VIT-AP University,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Balas B.,2024-10-08,Book,North Dakota State University,Practical Vision Science: Learning Through Experimentation,Publisher desconocido,Scopus,0
Baldi A.,2024-12-01,Article,Walter and Eliza Hall Institute of Medical Research,Nature Communications,Publisher desconocido,Scopus,0
Bali C.,2024-12-01,Article,Pécsi Tudományegyetem,Scientific Reports,Publisher desconocido,Scopus,0
Ball B.,2024-12-01,Article,Northeastern University,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Balsdon T.,2024-12-01,Article,Laboratoire des Systèmes Perceptifs,Nature Communications,Publisher desconocido,Scopus,1
Banerjee A.N.,2024-11-18,Review,Yeungnam University,Nanotechnology,Publisher desconocido,Scopus,0
Bani R.J.,2024-10-28,Article,Academy of Scientific and Innovative Research (AcSIR),International Journal of Hydrogen Energy,Publisher desconocido,Scopus,0
Banihashem S.K.,2024-12-01,Article,Open Universiteit,International Journal of Educational Technology in Higher Education,Publisher desconocido,Scopus,11
Baram T.Z.,2024-11-01,Review,UCI School of Medicine,Neurobiology of Stress,Publisher desconocido,Scopus,0
Barbati M.,2024-12-16,Article,Università Ca' Foscari Venezia,European Journal of Operational Research,Publisher desconocido,Scopus,0
Barber H.,2024-10-01,Article,Benjamin M. Statler College of Engineering and Mineral Resources,Desalination and Water Treatment,Publisher desconocido,Scopus,0
Basedow L.A.,2024-12-01,Article,Philipps-Universität Marburg,Scientific Reports,Publisher desconocido,Scopus,0
Batni B.,2025-09-01,Article,Universiti Malaysia Sarawak,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Batool M.,2024-12-01,Review,UConn College of Engineering,Energy and AI,Publisher desconocido,Scopus,0
Batrancea L.M.,2024-12-01,Article,Universitatea Babeș-Bolyai,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Baudet C.,2024-09-28,Article,University of Applied Sciences Western Switzerland,Recherches en Sciences de Gestion,Publisher desconocido,Scopus,0
Bauer F.,2024-09-02,Book Chapter,The Bartlett School of Architecture,Toward a New Culture of the Material,Publisher desconocido,Scopus,0
Baum I.A.,2024-12-01,Article,Johannes Kepler University Linz,MethodsX,Publisher desconocido,Scopus,0
Baumartz D.,2024-09-10,Conference Paper,Goethe-Universität Frankfurt am Main,HT 2024: Creative Intelligence - 35th ACM Conference on Hypertext and Social Media,Publisher desconocido,Scopus,0
Bawa S.,2024-12-01,Article,Thapar Institute of Engineering &amp; Technology,Cluster Computing,Publisher desconocido,Scopus,0
Bayaga A.,2024-12-01,Article,University of the Western Cape,Computers in Human Behavior Reports,Publisher desconocido,Scopus,0
Başkent E.Z.,2024-10-01,Article,"Centro de Estudos Florestais, Universidade de Lisboa",Journal of Environmental Management,Publisher desconocido,Scopus,0
Behera R.K.,2024-10-10,Article,"Kalinga Institute of Industrial Technology, Bhubaneswar",Journal of Cleaner Production,Publisher desconocido,Scopus,0
Benassi F.,2024-12-01,Article,Università degli Studi di Napoli Federico II,Letters in Spatial and Resource Sciences,Publisher desconocido,Scopus,0
Benimmas A.,2024-12-01,Article,Université de Moncton,Canadian Journal of Learning and Technology,Publisher desconocido,Scopus,0
Benko Ľ.,2024-12-01,Article,Constantine the Philosopher University in Nitra,Scientific Reports,Publisher desconocido,Scopus,1
Bernardini G.,2024-10-01,Article,Università degli Studi di Trieste,Molecular Phylogenetics and Evolution,Publisher desconocido,Scopus,0
Bernstein M.,2024-09-10,Conference Paper,Afiliación desconocida,HT 2024: Creative Intelligence - 35th ACM Conference on Hypertext and Social Media,Publisher desconocido,Scopus,0
Bertani A.,2024-12-01,Article,Bruno Kessler Foundation,EPJ Data Science,Publisher desconocido,Scopus,0
Berto L.,2024-12-01,Article,Universidade Estadual de Campinas,Cognitive Systems Research,Publisher desconocido,Scopus,0
Bher A.,2024-10-15,Review,College of Agriculture &amp; Natural Resources,Journal of Cleaner Production,Publisher desconocido,Scopus,0
Biedka S.,2024-12-01,Article,LLC,Communications Biology,Publisher desconocido,Scopus,1
Bierwiaczonek K.,2024-12-01,Article,Universitetet i Oslo,Nature Communications,Publisher desconocido,Scopus,0
Binaluyo J.P.,2024-09-06,Article,Polytechnic University of the Philippines,International Journal of Economics and Financial Issues,Publisher desconocido,Scopus,0
Biondo A.E.,2024-10-01,Article,Dipartimento di Economia e Impresa,International Review of Financial Analysis,Publisher desconocido,Scopus,0
Birhane A.,2024-11-01,Article,Trinity College Dublin,Language Sciences,Publisher desconocido,Scopus,0
Björklund C.,2025-01-01,Article,Göteborgs Universitet,Journal of Experimental Child Psychology,Publisher desconocido,Scopus,0
Blackburn-Daniels S.,2024-09-10,Conference Paper,Teesside University,HT 2024: Creative Intelligence - 35th ACM Conference on Hypertext and Social Media,Publisher desconocido,Scopus,0
Blanco-Melo D.,2024-12-01,Article,Fred Hutchinson Cancer Center,Genome Biology,Publisher desconocido,Scopus,3
Blanke T.,2024-12-01,Article,Universiteit van Amsterdam,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Boda P.A.,2024-10-01,Article,University of Illinois at Chicago,Instructional Science,Publisher desconocido,Scopus,0
Bojić L.,2024-12-01,Article,"Institute for Philosophy and Social Theory, University of Belgrade",European Journal of Futures Research,Publisher desconocido,Scopus,0
Boncinelli L.,2025-01-01,Article,Università degli Studi di Firenze,Ecological Economics,Publisher desconocido,Scopus,0
Bongiovanni I.,2024-11-01,Article,The University of Queensland Business School,Computers and Security,Publisher desconocido,Scopus,0
Bongomin O.,2024-10-01,Article,Faculty of Engineering Ain Shams University,Energy Conversion and Management: X,Publisher desconocido,Scopus,0
Bornmann L.,2024-11-01,Article,Max Planck Institute for Solid State Research,Journal of Informetrics,Publisher desconocido,Scopus,0
Borragán G.,2024-10-01,Review,Vlaamse Instelling voor Technologisch Onderzoek,Renewable and Sustainable Energy Reviews,Publisher desconocido,Scopus,0
Bourassa K.J.,2024-12-01,Review,Durham VA Health Care System,Translational Psychiatry,Publisher desconocido,Scopus,1
Boyle A.,2024-09-16,Review,Canadian Institute for Advanced Research,Philosophical Transactions of the Royal Society B: Biological Sciences,Publisher desconocido,Scopus,2
Bracher K.M.,2024-12-01,Article,Ludwig-Maximilians-Universität München,Scientific Reports,Publisher desconocido,Scopus,0
Brand D.,2024-12-01,Article,Stellenbosch University,Scientific Reports,Publisher desconocido,Scopus,1
Bronzini M.,2024-12-01,Article,Università di Trento,EPJ Data Science,Publisher desconocido,Scopus,0
Browning J.,2024-10-01,Article,NYU Tandon School of Engineering,AI and Society,Publisher desconocido,Scopus,2
Brunk R.,2024-09-10,Article,University of Leeds,Journal of Chemical Education,Publisher desconocido,Scopus,0
Buldur M.,2024-12-01,Article,Çanakkale Onsekiz Mart Üniversitesi,BMC Oral Health,Publisher desconocido,Scopus,0
Busta L.,2024-10-01,Article,University of Minnesota Duluth,Plant Journal,Publisher desconocido,Scopus,0
Bustio-Martínez L.,2024-10-01,Article,Universidad Iberoamericana,Journal of Network and Computer Applications,Publisher desconocido,Scopus,0
Butt N.A.,2024-10-01,Article,Information Technology University,Journal of King Saud University - Computer and Information Sciences,Publisher desconocido,Scopus,0
Buzi G.,2024-12-01,Review,Université de Caen Normandie,Communications Biology,Publisher desconocido,Scopus,0
Børsting C.,2024-10-01,Article,Aarhus Universitet,Journal of Behavioral Decision Making,Publisher desconocido,Scopus,0
Calvo P.,2024-12-01,Article,Universidad Jaume I,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,2
Camilleri J.A.,2024-12-01,Article,Heinrich-Heine-Universität Düsseldorf,Scientific Reports,Publisher desconocido,Scopus,0
Capone L.,2024-10-01,Article,Università Campus Bio-Medico di Roma,AI and Society,Publisher desconocido,Scopus,1
Carle C.F.,2024-12-01,Article,The John Curtin School of Medical Research,BMC Ophthalmology,Publisher desconocido,Scopus,2
Cecchi R.,2024-12-01,Article,Grenoble Institut des Neurosciences,Nature Communications,Publisher desconocido,Scopus,0
Chadha Y.,2024-10-01,Review,Helmholtz Center Munich German Research Center for Environmental Health,Physiological Reviews,Publisher desconocido,Scopus,0
Chalmers E.,2024-11-01,Article,Mount Royal University,Neurobiology of Learning and Memory,Publisher desconocido,Scopus,0
Chan H.K.,2024-12-01,Article,RIKEN Center for Brain Science,Scientific Reports,Publisher desconocido,Scopus,0
Chan H.Y.,2024-12-01,Article,University of Oxford,Transportation Research Part A: Policy and Practice,Publisher desconocido,Scopus,0
Chang C.L.,2024-12-01,Article,National Pingtung University of Science and Technology,Smart Agricultural Technology,Publisher desconocido,Scopus,0
Chang H.Y.,2024-12-01,Article,National Taiwan Normal University,International Journal of STEM Education,Publisher desconocido,Scopus,1
Chatterjee I.,2024-10-01,Article,Woxsen University,Psychiatry Research - Neuroimaging,Publisher desconocido,Scopus,0
Chauhan A.S.,2024-12-01,Review,Uttaranchal University,Discover Artificial Intelligence,Publisher desconocido,Scopus,0
Chen A.X.,2024-12-01,Article,"University of California, Santa Barbara",Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Chen C.,2024-12-01,Article,Jiangsu Vocational College of Medicine,International Journal of Computational Intelligence Systems,Publisher desconocido,Scopus,0
Chen C.H.,2024-12-01,Article,National Sun Yat-Sen University,Learning and Instruction,Publisher desconocido,Scopus,0
Chen C.M.,2024-12-01,Article,National Chengchi University,International Journal of STEM Education,Publisher desconocido,Scopus,0
Chen F.,2024-09-05,Article,Fuzhou University,Dianwang Jishu/Power System Technology,Publisher desconocido,Scopus,0
Chen H.,2025-01-01,Article,Central China Normal University,Computers in Human Behavior,Publisher desconocido,Scopus,0
Chen L.,2024-10-01,Article,"College of Computer Science and Technology, Zhejiang University",Advanced Engineering Informatics,Publisher desconocido,Scopus,0
Chen L.,2024-10-01,Article,Universität Mannheim,Education and Training,Publisher desconocido,Scopus,2
Chen L.,2024-11-01,Article,"College of Computer Science and Technology, Zhejiang University",Journal of Mechanical Design,Publisher desconocido,Scopus,1
Chen S.,2024-12-01,Article,Xi'an Conservatory of Music,International Journal of Computational Intelligence Systems,Publisher desconocido,Scopus,1
Chen X.,2024-10-01,Article,MacEwan University,Journal of Business Research,Publisher desconocido,Scopus,0
Chen X.,2024-12-01,Article,Hubei University of Technology,Journal of Food Engineering,Publisher desconocido,Scopus,0
Cheng J.,2024-12-01,Article,University of Chinese Academy of Sciences,Medical Gas Research,Publisher desconocido,Scopus,0
Cheng S.,2024-09-16,Article,Ruhr-Universitat Bochum,Philosophical Transactions of the Royal Society B: Biological Sciences,Publisher desconocido,Scopus,0
Cheng S.,2024-10-01,Article,Institute of Computing Technology Chinese Academy of Sciences,Biomedical Signal Processing and Control,Publisher desconocido,Scopus,0
Chertkov M.,2024-09-06,Review,The University of Arizona,Journal of Physics A: Mathematical and Theoretical,Publisher desconocido,Scopus,0
Chi W.,2024-09-05,Article,Qingdao Key Laboratory of Coastal Ecological Restoration and Security,Journal of Hazardous Materials,Publisher desconocido,Scopus,0
Ching B.H.H.,2024-12-01,Article,University of Macau,Contemporary Educational Psychology,Publisher desconocido,Scopus,0
Chiu T.K.F.,2024-12-01,Article,Chinese University of Hong Kong,Computers and Education: Artificial Intelligence,Publisher desconocido,Scopus,0
Choi Y.W.,2024-11-01,Article,Incheon Academy of Science and Arts,International Journal of Technology and Design Education,Publisher desconocido,Scopus,0
Chou J.R.,2024-10-01,Article,I-Shou University,Advanced Engineering Informatics,Publisher desconocido,Scopus,1
Christensen D.,2024-12-01,Article,Stockton University,Evolution: Education and Outreach,Publisher desconocido,Scopus,0
Chuard P.,2024-09-10,Book,SMU,The Temporal Mind: A Philosophical Introduction,Publisher desconocido,Scopus,0
Chueca J.,2024-09-02,Conference Paper,Universidad San Jorge,ACM International Conference Proceeding Series,Publisher desconocido,Scopus,1
Cieślak M.,2024-12-01,Article,Uniwersytet Jagielloński,Scientific Reports,Publisher desconocido,Scopus,2
Citadini de Oliveira C.,2024-10-15,Review,Universidade Federal de Santa Catarina,Energy and Buildings,Publisher desconocido,Scopus,0
Collins T.,2024-12-01,Article,Integrative Neuroscience and Cognition Center,Scientific Reports,Publisher desconocido,Scopus,0
Colombo S.,2024-12-01,Article,Politecnico di Milano,Expert Systems with Applications,Publisher desconocido,Scopus,0
Constantinou C.P.,2024-12-01,Article,University of Cyprus,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Contrino M.F.,2024-12-01,Article,Tecnológico de Monterrey,Smart Learning Environments,Publisher desconocido,Scopus,3
Coolen I.E.J.I.,2024-12-01,Article,"Donders Institute for Brain, Cognition and Behaviour",BMC Psychology,Publisher desconocido,Scopus,0
Coppelmans J.N.,2024-12-01,Article,Universiteit Leiden,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Cordoni F.,2025-01-01,Review,"Royal Holloway, University of London",North American Journal of Economics and Finance,Publisher desconocido,Scopus,0
Cremer C.Z.,2024-09-03,Book Chapter,Afiliación desconocida,An Anthology of Global Risk,Publisher desconocido,Scopus,0
Cuaxinque-Flores G.,2024-09-05,Article,Universidad Autónoma de Guerrero,Journal of Hazardous Materials,Publisher desconocido,Scopus,1
Culot G.,2024-11-01,Review,Università degli Studi di Udine,Computers in Industry,Publisher desconocido,Scopus,1
Curzel F.,2024-10-01,Article,Centre de Recherche en Neurosciences de Lyon,Brain and Cognition,Publisher desconocido,Scopus,0
Cuzzolin F.,2025-02-01,Short Survey,Oxford Brookes University,Information Fusion,Publisher desconocido,Scopus,0
Dafni-Merom A.,2024-09-16,Article,Faculty of Medicine,Philosophical Transactions of the Royal Society B: Biological Sciences,Publisher desconocido,Scopus,0
Dan X.,2025-01-01,Article,Qilu Normal University,Entertainment Computing,Publisher desconocido,Scopus,0
Dananjaya S.A.V.,2024-12-01,Review,University of Moratuwa,Progress in Materials Science,Publisher desconocido,Scopus,3
DasGupta A.,2024-09-15,Article,Indian Institute of Technology Kharagpur,Composite Structures,Publisher desconocido,Scopus,0
David I.J.,2024-12-01,Article,University of KwaZulu-Natal,EPJ Quantum Technology,Publisher desconocido,Scopus,0
David L.Z.,2024-11-01,Article,Universiteit Twente,Applied Ergonomics,Publisher desconocido,Scopus,0
Davis D.S.,2024-12-01,Article,Lamont-Doherty Earth Observatory,Journal of Archaeological Research,Publisher desconocido,Scopus,4
De Brigard F.,2024-09-16,Article,Duke University,Philosophical Transactions of the Royal Society B: Biological Sciences,Publisher desconocido,Scopus,1
De Gioannis E.,2024-10-01,Article,Università degli Studi di Milano,Energy Research and Social Science,Publisher desconocido,Scopus,0
DeGe J.L.,2024-12-01,Article,Renmin University of China,Scientific Reports,Publisher desconocido,Scopus,0
Delhaes J.M.,2024-12-01,Article,Instituto Superior Técnico,Technological Forecasting and Social Change,Publisher desconocido,Scopus,0
Demedts F.,2024-12-01,Article,KU Leuven,Learning and Instruction,Publisher desconocido,Scopus,0
Derraz B.,2024-12-01,Article,Université Paris-Saclay,npj Precision Oncology,Publisher desconocido,Scopus,9
Desvars-Larrive A.,2024-12-01,Article,Complexity Science Hub Vienna,Nature Communications,Publisher desconocido,Scopus,0
Devignes Q.,2024-12-01,Article,McLean Hospital,Translational Psychiatry,Publisher desconocido,Scopus,1
Di Antonio G.,2024-12-01,Article,Museo Storico della Fisica e Centro Studi e Ricerche Enrico Fermi,Nature Communications,Publisher desconocido,Scopus,0
Ding J.,2024-12-01,Article,Henan Police College,Systems and Soft Computing,Publisher desconocido,Scopus,0
Dinsa E.F.,2024-12-01,Article,Wollega University,Scientific Reports,Publisher desconocido,Scopus,0
Do K.T.,2024-10-01,Article,College of Arts &amp; Sciences,Developmental Cognitive Neuroscience,Publisher desconocido,Scopus,0
Domaradzki J.,2024-12-01,Article,Poznan University of Medical Sciences,BMC Medical Education,Publisher desconocido,Scopus,0
Dong Y.,2025-02-19,Article,Tianjin University of Traditional Chinese Medicine,Separation and Purification Technology,Publisher desconocido,Scopus,3
Dostal H.,2024-10-01,Review,University of Connecticut,Journal of Deaf Studies and Deaf Education,Publisher desconocido,Scopus,0
Du H.,2024-12-01,Article,Zhejiang Normal University,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,4
Duankhan P.,2024-10-15,Article,Khon Kaen University,Expert Systems with Applications,Publisher desconocido,Scopus,4
Duboisdindien G.,2025-02-01,Article,"Savoirs, Textes, Langage",Journal of Neurolinguistics,Publisher desconocido,Scopus,0
Dukhyil A.B.,2024-11-01,Article,Majmaah University,Journal of King Saud University - Science,Publisher desconocido,Scopus,0
Duong C.D.,2024-12-01,Article,National Economics University Hanoi,Thinking Skills and Creativity,Publisher desconocido,Scopus,0
Dutra P.V.M.,2025-01-01,Article,Universidade Federal de Juiz de Fora,Entertainment Computing,Publisher desconocido,Scopus,0
Dwidarti F.,2025-02-01,Article,Universitas Negeri Yogyakarta,Journal of Education and Learning,Publisher desconocido,Scopus,0
Dwivedi Y.K.,2024-10-01,Editorial,School of Management,International Journal of Information Management,Publisher desconocido,Scopus,8
Dzulkifly S.,2025-08-01,Article,Universiti Pendidikan Sultan Idris,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Eakin H.,2024-09-03,Article,Arizona State University,Proceedings of the National Academy of Sciences of the United States of America,Publisher desconocido,Scopus,0
Edumadze J.K.E.,2024-12-01,Article,University of Cape Coast Ghana,Smart Learning Environments,Publisher desconocido,Scopus,1
Egeland J.,2024-12-01,Article,Universitetet i Agder,New Ideas in Psychology,Publisher desconocido,Scopus,1
Elballah K.,2024-12-01,Article,King Faisal University,Discover Sustainability,Publisher desconocido,Scopus,0
Elena M.V.,2024-11-01,Article,"Clemson University College of Engineering, Computing and Applied Sciences",International Journal of Technology and Design Education,Publisher desconocido,Scopus,0
Engholm A.,2024-12-01,Article,The Royal Institute of Technology (KTH),European Transport Research Review,Publisher desconocido,Scopus,0
EskandariNasab M.R.,2024-12-01,Article,USU College of Science,Scientific Reports,Publisher desconocido,Scopus,13
Evers K.,2024-11-01,Article,Universiteit van Amsterdam,Nonlinear Dynamics,Publisher desconocido,Scopus,0
Faber T.J.E.,2024-12-01,Article,Erasmus MC,BMC Medical Education,Publisher desconocido,Scopus,0
Faghfouri A.,2024-10-01,Article,Université du Québec à Montréal,KSCE Journal of Civil Engineering,Publisher desconocido,Scopus,0
Fairchild A.J.,2024-10-01,Article,University of South Carolina,Behavior Research Methods,Publisher desconocido,Scopus,3
Faizawati Badarudin N.,2024-12-01,Article,Institutionen för Designvetenskaper,Cleaner Logistics and Supply Chain,Publisher desconocido,Scopus,0
Fang Q.,2024-12-01,Article,Central China Normal University,Nano Energy,Publisher desconocido,Scopus,0
Fang T.,2025-01-15,Article,South China University of Technology,Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,Publisher desconocido,Scopus,0
Fang Y.,2024-10-01,Article,Shanghai Normal University,Motivation and Emotion,Publisher desconocido,Scopus,0
Fantoni F.,2024-11-01,Article,Università degli Studi di Brescia,International Journal of Solids and Structures,Publisher desconocido,Scopus,0
Farhoudinia B.,2024-12-01,Article,Sabancı Üniversitesi,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,1
Farkas B.C.,2024-12-01,Article,Université de Versailles Saint-Quentin-en-Yvelines,Scientific Reports,Publisher desconocido,Scopus,1
